"Analysis"	"Identifier_1"	"Treat"	"Code"	"Time"	"Peak"	"Rt"	"Ampl__44"	"Ampl__45"	"Ampl__46"	"BGD_44"	"BGD_45"	"BGD_46"	"AT%13C/12C"	"relative_concentration"
"208"	36682	"BV20_09_31"	"DPS"	"DPS3"	3	"C19:0"	1440	1984	2306	2725	22.6	45.3	47.5	1.11	1992.0475
"209"	36682	"BV20_09_31"	"DPS"	"DPS3"	3	"C20:0"	1479	167	1046	232	22.6	45.3	47.5	3.768	154.9611
"212"	36683	"BV20_09_43"	"DPS"	"DPS3"	4	"C14:0"	643	575	5745	800	19.4	23	40.1	8.951	615.102
"213"	36683	"BV20_09_43"	"DPS"	"DPS3"	4	"14:1w5"	652	60	328	83	19.4	23	40.1	6.262	43.7788
"214"	36683	"BV20_09_43"	"DPS"	"DPS3"	4	"C16:1w7"	887	2267	26161	3181	17.2	22.7	40.7	10.563	2520.6133
"215"	36683	"BV20_09_43"	"DPS"	"DPS3"	4	"C17:0"	923	2355	31437	3315	36.2	245.1	67.6	11.872	2640.471
"218"	36683	"BV20_09_43"	"DPS"	"DPS3"	4	"C16:3w4"	1067	176	252	241	19.6	58.8	44.4	1.322	158.9224
"219"	36683	"BV20_09_43"	"DPS"	"DPS3"	4	"C18:1w9"	1239	160	281	220	16.5	33.5	39.7	1.799	146.5164
"221"	36683	"BV20_09_43"	"DPS"	"DPS3"	4	"C19:0"	1440	1889	2177	2594	22.4	40.4	47.2	1.097	1895.614
"222"	36683	"BV20_09_43"	"DPS"	"DPS3"	4	"C20:0"	1479	136	834	188	22.4	40.4	47.2	3.545	121.9588
"225"	36684	"BV20_09_20"	"DPS"	"DPS5"	2	"C14:0"	646	198	1442	275	17.1	13.9	37.1	6.598	195.8954
"226"	36684	"BV20_09_20"	"DPS"	"DPS5"	2	"C16:1w7"	888	1126	12811	1580	14.7	11.8	37.4	10.102	1243.9244
"227"	36684	"BV20_09_20"	"DPS"	"DPS5"	2	"C17:0"	924	754	10867	1063	26.5	131.6	54	12.348	837.884
"228"	36684	"BV20_09_20"	"DPS"	"DPS5"	2	"C18:1w9"	1240	60	103	82	14.1	20.2	36.3	2.217	46.8652
"229"	36684	"BV20_09_20"	"DPS"	"DPS5"	2	"C19:0"	1440	1886	2163	2592	18.8	24.9	42	1.086	1896.2387
"230"	36684	"BV20_09_20"	"DPS"	"DPS5"	2	"C20:0"	1479	124	300	171	18.8	24.9	42	1.58	108.3384
"231"	36686	"BV20_09_44"	"DPS"	"DPS5"	4	"C14:0"	643	587	5920	820	19.4	26.4	40.1	8.962	628.878
"232"	36686	"BV20_09_44"	"DPS"	"DPS5"	4	"14:1w5"	652	59	357	82	19.4	26.4	40.1	6.679	43.0318
"233"	36686	"BV20_09_44"	"DPS"	"DPS5"	4	"C16:1w7"	887	2264	32273	3198	16.9	24.8	40.2	12.69	2579.0649
"234"	36686	"BV20_09_44"	"DPS"	"DPS5"	4	"C17:0"	923	1916	37781	2731	36.8	293.6	68.5	16.373	2262.0695
"236"	36686	"BV20_09_44"	"DPS"	"DPS5"	4	"C16:3w4"	1068	176	282	241	19.1	69.7	43.7	1.495	159.6155
"237"	36686	"BV20_09_44"	"DPS"	"DPS5"	4	"C18:1w9"	1240	131	276	179	16	40.1	38.8	3.341	117.78
"238"	36686	"BV20_09_44"	"DPS"	"DPS5"	4	"C18:2w6"	1272	228	636	314	24.5	70.5	50.2	2.619	209.9472
"239"	36686	"BV20_09_44"	"DPS"	"DPS5"	4	"C19:0"	1440	1670	1941	2294	20.6	42.7	44.4	1.115	1675.1386
"240"	36686	"BV20_09_44"	"DPS"	"DPS5"	4	"C20:0"	1479	121	1032	168	20.6	42.7	44.4	5.004	110.6642
"243"	36687	"BV20_09_21"	"DVM"	"DVM1"	2	"C14:0"	646	192	1495	267	15.5	11.8	34.7	7.046	192.0296
"244"	36687	"BV20_09_21"	"DVM"	"DVM1"	2	"C16:1w7"	889	1030	11713	1445	14.1	10.8	36.2	10.102	1137.1526
"245"	36687	"BV20_09_21"	"DVM"	"DVM1"	2	"C17:0"	924	789	9982	1108	25.3	125.7	52	11.05	865.4342
"246"	36687	"BV20_09_21"	"DVM"	"DVM1"	2	"C19:0"	1440	1899	2169	2608	16.7	21.3	39	1.086	1911.4917
"247"	36687	"BV20_09_21"	"DVM"	"DVM1"	2	"C20:0"	1479	138	350	190	16.7	21.3	39	1.617	125.0405
"249"	36689	"BV20_09_45"	"DVM"	"DVM1"	4	"C14:0"	644	492	6721	691	18.8	24.6	39.2	11.827	542.1214
"250"	36689	"BV20_09_45"	"DVM"	"DVM1"	4	"14:1w5"	653	53	378	74	18.8	24.6	39.2	8.252	37.8385
"251"	36689	"BV20_09_45"	"DVM"	"DVM1"	4	"C16:1w7"	888	1946	31828	2760	16.1	23.6	39	14.264	2256.1152
"252"	36689	"BV20_09_45"	"DVM"	"DVM1"	4	"C17:0"	923	1939	38486	2765	32.7	291.8	62.6	16.731	2296.3573
"254"	36689	"BV20_09_45"	"DVM"	"DVM1"	4	"C16:3w4"	1068	209	336	288	18.1	70.8	42.1	1.503	194.2904
"255"	36689	"BV20_09_45"	"DVM"	"DVM1"	4	"C18:1w9"	1240	123	260	170	15.4	39.2	37.9	3.001	110.2047
"257"	36689	"BV20_09_45"	"DVM"	"DVM1"	4	"C19:0"	1440	1595	1871	2191	20.4	43.2	44.1	1.12	1599.3251
"258"	36689	"BV20_09_45"	"DVM"	"DVM1"	4	"C20:0"	1479	138	1461	193	20.4	43.2	44.1	6.022	132.2251
"261"	36690	"BV20_09_22"	"DVM"	"DVM2"	2	"C14:0"	646	203	2077	284	15.7	13	34.9	9.041	208.688
"262"	36690	"BV20_09_22"	"DVM"	"DVM2"	2	"C16:1w7"	888	1001	15098	1414	14.4	13.5	36.6	12.967	1141.5813
"263"	36690	"BV20_09_22"	"DVM"	"DVM2"	2	"C17:0"	924	762	12739	1081	25.3	171.4	52.2	14.117	865.4655
"264"	36690	"BV20_09_22"	"DVM"	"DVM2"	2	"C19:0"	1440	1611	1850	2214	17.7	27.5	40.3	1.091	1618.0526
"265"	36690	"BV20_09_22"	"DVM"	"DVM2"	2	"C20:0"	1478	128	430	177	17.7	27.5	40.3	1.998	114.7355
"267"	36693	"BV20_09_23"	"DVM"	"DVM3"	2	"C16:1w7"	889	882	14517	1249	13.8	12.6	35.8	13.937	1016.8872
"268"	36693	"BV20_09_23"	"DVM"	"DVM3"	2	"C17:0"	924	689	13029	983	23	158.6	48.9	15.59	797.5091
"269"	36693	"BV20_09_23"	"DVM"	"DVM3"	2	"C16:3w4"	1071	58	90	80	14.7	36.6	37.3	1.382	43.9622
"270"	36693	"BV20_09_23"	"DVM"	"DVM3"	2	"C19:0"	1440	1465	1687	2013	16.8	25.5	39.1	1.091	1470.7426
"271"	36693	"BV20_09_23"	"DVM"	"DVM3"	2	"C20:0"	1479	132	472	182	16.8	25.5	39.1	2.058	120.0941
"272"	36694	"BV20_09_35"	"DVM"	"DVM3"	3	"C14:0"	643	460	6718	646	21.6	24.4	42.9	12.446	507.1471
"273"	36694	"BV20_09_35"	"DVM"	"DVM3"	3	"C16:1w7"	887	2311	42545	3289	17.3	22.5	40.5	15.76	2728.6803
"274"	36694	"BV20_09_35"	"DVM"	"DVM3"	3	"C17:0"	923	1815	41809	2606	37.3	376.3	69.2	18.886	2199.645
"276"	36694	"BV20_09_35"	"DVM"	"DVM3"	3	"C16:3w4"	1068	160	266	219	19.3	79	43.8	1.524	143.0961
"277"	36694	"BV20_09_35"	"DVM"	"DVM3"	3	"C18:1w9"	1240	197	387	272	16.1	43.3	38.8	2.806	185.0373
"279"	36694	"BV20_09_35"	"DVM"	"DVM3"	3	"C19:0"	1440	1607	1884	2208	21.4	47.8	45.4	1.124	1610.4563
"280"	36694	"BV20_09_35"	"DVM"	"DVM3"	3	"C20:0"	1478	158	1538	221	21.4	47.8	45.4	5.358	152.0293
"284"	36695	"BV20_09_47"	"DVM"	"DVM3"	4	"C14:0"	644	351	4915	493	17.9	23.1	38.1	12.018	383.3851
"285"	36695	"BV20_09_47"	"DVM"	"DVM3"	4	"C16:1w7"	887	1458	25711	2073	15.6	22.1	38.1	14.999	1705.3998
"286"	36695	"BV20_09_47"	"DVM"	"DVM3"	4	"C17:0"	923	1483	30992	2121	28.5	250.5	56.8	17.146	1768.1138
"288"	36695	"BV20_09_47"	"DVM"	"DVM3"	4	"C16:3w4"	1069	186	326	256	17.1	63.1	40.6	1.646	172.1758
"289"	36695	"BV20_09_47"	"DVM"	"DVM3"	4	"C18:1w9"	1240	98	213	135	14.7	35.1	36.8	2.912	85.3739
"291"	36695	"BV20_09_47"	"DVM"	"DVM3"	4	"C19:0"	1440	1423	1667	1955	19.8	40.3	43.1	1.116	1425.2084
"292"	36695	"BV20_09_47"	"DVM"	"DVM3"	4	"C20:0"	1479	149	1306	208	19.8	40.3	43.1	4.971	142.3522
"295"	36697	"BV20_09_36"	"DVM"	"DVM5"	3	"C14:0"	644	474	7258	668	19.7	23.3	40.5	12.928	528.5314
"296"	36697	"BV20_09_36"	"DVM"	"DVM5"	3	"C16:1w7"	887	2130	43243	3043	16.6	21.6	39.6	17.115	2554.6332
