# PLAZA instance : diatoms_01
# File generation timestamp : Wed Apr 22 15:36:27 CEST 2020
#"transcript_id";"gene_id"
"Sro1027_g233070.1";"Sro1027_g233070"
"Sro1027_g233080.1";"Sro1027_g233080"
"Sro1027_g233090.1";"Sro1027_g233090"
"Sro1027_g233100.1";"Sro1027_g233100"
"Sro1028_g233110.1";"Sro1028_g233110"
"Sro1028_g233120.1";"Sro1028_g233120"
"Sro1028_g233130.1";"Sro1028_g233130"
"Sro1028_g233140.1";"Sro1028_g233140"
"Sro1028_g233150.1";"Sro1028_g233150"
"Sro1028_g233160.1";"Sro1028_g233160"
"Sro1028_g233170.1";"Sro1028_g233170"
"Sro1028_g233180.1";"Sro1028_g233180"
"Sro1028_g233190.1";"Sro1028_g233190"
"Sro1028_g233200.2";"Sro1028_g233200"
"Sro1028_g233210.1";"Sro1028_g233210"
"Sro1029_g233220.1";"Sro1029_g233220"
"Sro1029_g233230.1";"Sro1029_g233230"
"Sro1029_g233240.1";"Sro1029_g233240"
"Sro1029_g233250.1";"Sro1029_g233250"
"Sro1029_g233260.1";"Sro1029_g233260"
"Sro1029_g233270.1";"Sro1029_g233270"
"Sro1029_g233280.1";"Sro1029_g233280"
"Sro1029_g233290.1";"Sro1029_g233290"
"Sro1029_g233300.1";"Sro1029_g233300"
"Sro1029_g233310.1";"Sro1029_g233310"
"Sro1029_g233320.1";"Sro1029_g233320"
"Sro102_g051850.1";"Sro102_g051850"
"Sro102_g051860.1";"Sro102_g051860"
"Sro102_g051870.1";"Sro102_g051870"
"Sro102_g051880.1";"Sro102_g051880"
"Sro102_g051890.1";"Sro102_g051890"
"Sro102_g051900.1";"Sro102_g051900"
"Sro102_g051910.1";"Sro102_g051910"
"Sro102_g051920.1";"Sro102_g051920"
"Sro102_g051930.1";"Sro102_g051930"
"Sro102_g051940.1";"Sro102_g051940"
"Sro102_g051950.1";"Sro102_g051950"
"Sro102_g051960.1";"Sro102_g051960"
"Sro102_g051970.1";"Sro102_g051970"
"Sro102_g051971.1";"Sro102_g051971"
"Sro102_g051980.2";"Sro102_g051980"
"Sro102_g051990.1";"Sro102_g051990"
"Sro102_g052000.1";"Sro102_g052000"
"Sro102_g052010.1";"Sro102_g052010"
"Sro102_g052020.1";"Sro102_g052020"
"Sro102_g052030.1";"Sro102_g052030"
"Sro102_g052040.1";"Sro102_g052040"
"Sro102_g052050.1";"Sro102_g052050"
"Sro102_g052060.1";"Sro102_g052060"
"Sro102_g052070.1";"Sro102_g052070"
"Sro102_g052080.1";"Sro102_g052080"
"Sro102_g052090.1";"Sro102_g052090"
"Sro102_g052100.1";"Sro102_g052100"
"Sro102_g052110.1";"Sro102_g052110"
"Sro102_g052120.1";"Sro102_g052120"
"Sro102_g052130.1";"Sro102_g052130"
"Sro102_g052140.1";"Sro102_g052140"
"Sro102_g052150.1";"Sro102_g052150"
"Sro102_g052160.1";"Sro102_g052160"
"Sro102_g052170.1";"Sro102_g052170"
"Sro102_g052180.1";"Sro102_g052180"
"Sro102_g052190.1";"Sro102_g052190"
"Sro102_g052200.1";"Sro102_g052200"
"Sro102_g052210.1";"Sro102_g052210"
"Sro102_g052220.1";"Sro102_g052220"
"Sro102_g052230.1";"Sro102_g052230"
"Sro102_g052240.1";"Sro102_g052240"
"Sro102_g052250.1";"Sro102_g052250"
"Sro102_g052260.1";"Sro102_g052260"
"Sro102_g052261.1";"Sro102_g052261"
"Sro1030_g233330.1";"Sro1030_g233330"
"Sro1030_g233340.1";"Sro1030_g233340"
"Sro1030_g233350.1";"Sro1030_g233350"
"Sro1030_g233360.1";"Sro1030_g233360"
"Sro1030_g233370.1";"Sro1030_g233370"
"Sro1031_g233380.1";"Sro1031_g233380"
"Sro1031_g233390.1";"Sro1031_g233390"
"Sro1031_g233400.1";"Sro1031_g233400"
"Sro1031_g233401.1";"Sro1031_g233401"
"Sro1031_g233410.1";"Sro1031_g233410"
"Sro1031_g233420.1";"Sro1031_g233420"
"Sro1031_g233430.1";"Sro1031_g233430"
"Sro1031_g233440.1";"Sro1031_g233440"
"Sro1031_g233450.1";"Sro1031_g233450"
"Sro1031_g233460.1";"Sro1031_g233460"
"Sro1031_g233470.1";"Sro1031_g233470"
"Sro1031_g233480.1";"Sro1031_g233480"
"Sro1031_g233490.1";"Sro1031_g233490"
"Sro1031_g233500.1";"Sro1031_g233500"
"Sro1031_r003060.1";"Sro1031_r003060"
"Sro1031_r003070.1";"Sro1031_r003070"
"Sro1032_g233510.1";"Sro1032_g233510"
"Sro1032_g233520.1";"Sro1032_g233520"
"Sro1032_g233530.1";"Sro1032_g233530"
"Sro1032_g233540.1";"Sro1032_g233540"
"Sro1032_g233550.1";"Sro1032_g233550"
"Sro1032_g233560.1";"Sro1032_g233560"
"Sro1032_g233570.1";"Sro1032_g233570"
"Sro1032_g233580.1";"Sro1032_g233580"
"Sro1032_g233590.1";"Sro1032_g233590"
"Sro1032_g233600.1";"Sro1032_g233600"
"Sro1032_g233610.1";"Sro1032_g233610"
"Sro1032_g233620.1";"Sro1032_g233620"
